city,cloudiness,country,date,humidity,lat,lng,max_Temp,wind_Speed
maniitsoq,100,GL,09-01-2019,85,65.42,-52.9,7.35,7.14
sovetskaya gavan,32,RU,09-01-2019,86,48.97,140.29,12.35,0.88
santa isabel do rio negro,81,BR,09-01-2019,48,-0.41,-65.02,33.45,1.64
maragogi,62,BR,09-01-2019,82,-9.01,-35.22,25.15,4.27
winnemucca,0,US,09-01-2019,14,40.97,-117.74,30.56,2.12
kapit,60,MY,09-01-2019,99,2.02,112.94,22.75,0.33
adrar,89,DZ,09-01-2019,20,27.87,-0.29,37.0,4.1
southbridge,75,US,09-01-2019,56,42.08,-72.03,24.44,1.5
provideniya,100,RU,09-01-2019,86,64.42,-173.23,8.15,7.08
new norfolk,20,AU,09-01-2019,81,-42.78,147.06,8.0,3.6
vanavara,100,RU,09-01-2019,84,60.35,102.28,12.05,1.29
muravlenko,100,RU,09-01-2019,93,63.79,74.5,8.15,5.25
itarema,41,BR,09-01-2019,52,-2.92,-39.92,30.95,7.33
port macquarie,9,AU,09-01-2019,100,-31.43,152.91,8.33,2.1
itapaci,100,BR,09-01-2019,17,-14.95,-49.55,36.45,3.43
kuytun,6,RU,09-01-2019,93,54.34,101.51,12.55,2.11
ixtapa,90,MX,09-01-2019,62,20.71,-105.21,32.22,1.75
ilulissat,20,GL,09-01-2019,27,69.22,-51.1,11.0,5.1
mahibadhoo,100,MV,09-01-2019,78,3.78,72.97,28.25,4.53
arraial do cabo,0,BR,09-01-2019,61,-22.97,-42.02,27.0,1.5
clarksdale,0,US,09-01-2019,49,34.2,-90.57,33.0,2.1
san patricio,41,PY,09-01-2019,43,-26.98,-56.83,19.95,4.48
sedalia,90,US,09-01-2019,77,38.7,-93.23,25.0,0.67
bom jesus,0,BR,09-01-2019,16,-9.08,-44.36,36.95,2.43
dikson,100,RU,09-01-2019,93,73.51,80.55,5.45,1.08
honningsvag,40,NO,09-01-2019,72,70.98,25.97,17.0,7.7
lubao,34,CD,09-01-2019,47,-5.39,25.75,28.15,0.67
ucluelet,90,CA,09-01-2019,100,48.94,-125.55,18.89,3.1
saint-augustin,75,CA,09-01-2019,46,45.63,-73.98,23.89,4.1
bandundu,100,CD,09-01-2019,45,-3.32,17.38,30.15,1.11
port elizabeth,1,US,09-01-2019,44,39.31,-74.98,29.44,3.6
yulara,0,AU,09-01-2019,21,-25.24,130.99,11.0,2.6
sabha,11,LY,09-01-2019,15,27.03,14.43,34.85,4.42
carnarvon,0,ZA,09-01-2019,23,-30.97,22.13,13.25,3.17
praia,40,BR,09-01-2019,25,-20.25,-43.81,32.0,3.6
muroto,37,JP,09-01-2019,89,33.37,134.14,21.95,1.44
mongoumba,47,CD,09-01-2019,86,3.64,18.59,22.85,1.18
atherton,40,AU,09-01-2019,77,-17.27,145.48,19.0,4.6
mankera,78,NG,09-01-2019,58,13.01,5.07,30.55,2.66
saint-georges,25,CA,09-01-2019,53,46.12,-70.67,21.11,1.65
pangnirtung,75,CA,09-01-2019,81,66.15,-65.72,9.0,5.1
huancavelica,0,PE,09-01-2019,34,-12.79,-74.97,8.65,4.54
